Shipment ID	FBA16S810S6C
Name	07-14-2022 03-38-PM
Plan ID	
Ship To	PDX7
Total SKUs	4
Total Units	5

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
DELL-G15-15-R75800H-CD0A0-3050TI	Dell G15 15.6" FHD 120Hz Gaming Laptop, AMD Ryzen7 5800H(8-core, Up to 4.4 GHz), NVIDIA GeForce RTX 3050 Ti, 32GB 3200MHz RAM, 1TB PCIe SSD, Backlit Keyboard, HDMI, WiFi 6, Win 11, Grey	B09NSL969W	X00386FO0P	UPC: 884116392842	New	No prep required	"--"	Merchant	1
NETGEAR-ROUTER-ORBI-RBK53-100NAS	---NETGEAR Orbi Ultra-Performance Whole Home Mesh WiFi System - WiFi router and two satellite extender with speeds up to 3Gbps over 6,000 sq. feet, AC3000 (RBK53)	B01N76QTYB	X003APUPX5	UPC: 606449117448	New	No prep required	"--"	Merchant	1
NINJA-BLENDER-SS151-GRY	Ninja SS151 TWISTi Blender DUO, High-Speed 1600 WP Smoothie Bowl Maker & Nutrient Extractor* 5 Functions for Smoothie Bowls, Spreads & More, smartTORQUE, 34-oz. Pitcher & (2) To-Go Cups, Gray	B09SBRGSFH	X003AN73SR	UPC: 622356589246	New	No prep required	"--"	Merchant	2
SHARK-VAC-WS632RGBRN-GLD	Shark WS632RGBRN WANDVAC System Ultra-Lightweight Powerful Cordless Stick Vacuum with Boost Mode, Charging Dock, Rose Gold	B08V3RC4BX	X003AW8U2B	UPC: 622356572873	New	No prep required	"--"	Merchant	1
