Shipment ID	FBA16SD19GC3
Name	07-19-2022 04-39-PM
Plan ID	
Ship To	GYR2
Total SKUs	19
Total Units	171

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
AMD-CPU-RYZEN-5-2600	AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX	B07B41WS48	X0034IUFUV	UPC: 730143309165	New	No prep required	"--"	Merchant	5
ARLO-CAM-VMC4250B-100NAS-2PK-BLK	Arlo Pro 4 Spotlight Camera - 2 Pack - Wireless Security, 2K Video & HDR, Color Night Vision, 2 Way Audio, Wire-Free, Direct to WiFi No Hub Needed, Black - VMC4250B	B092RSNGTY	X003ATD2JF	UPC: 193108143264	New	No prep required	"--"	Merchant	8
ASROCK-MOBO-B450M/AC-R1-LNO	Asrock B450M/AC AM4 B450 Motherboard	B07SY8CMTX	X003821BKB	EAN: 4717677338652	Used - Like New	No prep required	"--"	Merchant	1
ASUS-E410-14-N4020-EK0D0	Asus E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black)	B09YRY6QCX	X003B8NO43	UPC: 195553379847	New	No prep required	"--"	Merchant	3
ASUS-MOBO-PRIME-H570-PLUS	ASUS Prime H570-PLUS LGA1200 (Intel® 11th/10th Gen) ATX Motherboard (PCIe 4.0, 8 Power Stages, HDMI, DVI, DisplayPort, Dual M.2, Intel 1Gb LAN, USB 3.2 Gen 2 Type-C®, Thunderbolt™ 4)	B08WRR3MLF	X0032UVXCP	UPC: 195553124577	New	No prep required	"--"	Merchant	2
ASUS-MOBO-ROG-CROSSHAIRVIIIDARKHERO-LNR	ASUS ROG Crosshair VIII Dark Hero AMD AM4 X570S Zen 3 Ryzen 5000 & 3rd Gen Ryzen ATX Gaming Motherboard (PCIe 4.0, 14+2 Ti Power Stages, PCH Heatsink, Wi-Fi 6, 2.5 Gbps LAN, USB 3.2 Gen 2 Type-C	B08MTKJ6HM	X0037VND7H	UPC: 192876961629	Used - Like New	No prep required	"--"	Merchant	1
CORSAIR-COOLER-H100i-PSE-CW-9060042-LNO	Corsair iCUE H100i RGB Pro XT, 240mm Radiator	B07R6YLDDS	X0037XK6IT	UPC: 840006612711	Used - Like New	No prep required	"--"	Merchant	1
CORSAIR-SSD-MP400-NVME-8TB	Corsair MP400 8TB M.2 NVMe PCIe x4 Gen3 SSD (Sequential Read Speeds of up to 3,480 MB/s, Write Speeds of up to 3,000 MB/s, High-Density 3D QLC NAND) Black	B08JSMKW3J	X003AQ69MF	UPC: 840006631392	New	No prep required	"--"	Merchant	1
GOOGLE-PHONE-PIXEL-6-GA02900-US	Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black	B09HJZPFDD	X003ANVKIV	UPC: 810029930499	New	No prep required	"--"	Merchant	110
INTEL-CPU-I99900-BX80684I99900	Intel Core i9-9900 Desktop Processor 8 Cores up to 5.0GHz LGA1151 300 Series 65W	B07RXX3Y2T	X002OKJDGR	UPC: 735858416689	New	No prep required	"--"	Merchant	1
LINKSYS-WIFI-VELOP-MX8400C-2PK-WHT	Linksys MX8400 Velop Mesh WiFi 6 System: AX4200, Tri-Band Wireless Network for Full-Speed Home Coverage, Gigabit Ethernet Ports (White, 2-Pack)	B09PGQBHC9	X003B2FEQP	UPC: 745883810048	New	No prep required	"--"	Merchant	3
MICROSOFT-DOCK-PF3-00005	Microsoft Surface Dock (Compatible with Surface Pro 3, Surface Pro 4, and Surface Book)	B01DL4J77I	X003B3YQGX	UPC: 889842013702	New	No prep required	"--"	Merchant	1
MOTOROLA-MODEM-ROUTER-COMBO-MG7550	Motorola MG7550 Modem WiFi Router Combo with Power Boost | Approved by Comcast Xfinity, Cox, Charter Spectrum, More | for Cable Plans Up to 300 Mbps | AC1900 WiFi Speed | 16x4 DOCSIS 3.0	B01JGT2JI6	X003AQ563N	UPC: 855631006057	New	No prep required	"--"	Merchant	3
MSI-HDSET-IMMERSE-GH30-V2	MSI Gaming Detachable Microphone Lightweight and Foldable Headband Design Gaming Headphone (Immerse GH30 V2)	B0892G65H7	X002SWYNLB	EAN: 0824142212882	New	No prep required	"--"	Merchant	8
SAMSUNG-TAB-A-7-SM-T500NZAAXAR-GRY	Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Gray (SM-T500NZAAXAR)	B08GH2C64R	X003APYGXP	UPC: 887276438740	New	No prep required	"--"	Merchant	1
SEAGATE-HDD-IRONWOLF-12TB	Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage – Frustration Free Packaging (ST12000VN0008)	B07H241VJY	X003BEOX6P	UPC: 763649129784	New	No prep required	"--"	Merchant	5
WD-HDD-RED-PLUS-WD140EFFX-14TB	Western Digital 14TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 512 MB Cache, 3.5" - WD140EFFX	B07YFGMZVV	X0036R1IMT	UPC: 718037872841	New	No prep required	"--"	Merchant	1
WD-HDD-RED-PLUS-WD40EFRX-4TB	Western Digital 4TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 64 MB Cache, 3.5" - WD40EFRX	B00EHBERSE	X0039SE02Z	UPC: 718037810058	New	No prep required	"--"	Merchant	6
WD-HDD-RED-PLUS-WD60EFRX-6TB	Western Digital 6TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 64 MB Cache, 3.5" - WD60EFRX	B00LO3KR96	X0036YYW43	UPC: 718037827582	New	No prep required	"--"	Merchant	10
