Shipment ID	FBA16SHG8HQV
Name	FBA STA (07/22/2022 18:45)-JVL1
Plan ID	
Ship To	JVL1
Total SKUs	15
Total Units	197

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
DYSON-VAC-V10-226319-01	Dyson Cyclone V10 Animal Lightweight Cordless Stick Vacuum Cleaner	B0798LCJK9	X003BB67TT	UPC: 769498247433	New	No prep required	"--"	Merchant	70
DYSON-VAC-V11-298706-01	Dyson V11 Outsize Cordless Vacuum Cleaner, Nickel/Red	B084B9NX7Q	X003AUNNMP	UPC: 885609019291	New	No prep required	"--"	Merchant	16
MILWUAKEE-SAW-M12-BATT-CHAR-2	Milwaukee M12 Fuel Hatchet 6" Pruning Saw Kit	B08L5N55HM	X003BOH5BF	UPC: 733569823376	New	No prep required	"--"	Merchant	7
NINJA-BLENDER-BL642-BLK	Nutri Ninja BL642 Personal and Countertop Blender with 1200-Watt Auto-iQ Base, 72-Ounce Pitcher, and 18, 24, and 32-Ounce Cups with Spout Lids	B00NGV4E1G	X0038WVY3Z	UPC: 622356218771	New	No prep required	"--"	Merchant	7
NINJA-FRY-AF101-BLK/GRY	Ninja AF101 Air Fryer that Crisps, Roasts, Reheats, & Dehydrates, for Quick, Easy Meals, 4 Quart Capacity, & High Gloss Finish, Black/Grey	B07FDJMC9Q	X003BA5Y1R	UPC: 622356554572	New	No prep required	"--"	Merchant	9
NINJA-OVEN-FOODI-DT251-SLV	Ninja DT251 Foodi 10-in-1 Smart XL Air Fry Oven, Bake, Broil, Toast, Air Fry, Roast, Digital Toaster, Smart Thermometer, True Surround Convection up to 450°F, includes 6 trays & Recipe Guide, Silver	B08BXXQ37X	X003AWF7TP	UPC: 622356563567	New	No prep required	"--"	Merchant	2
NINJA-POT-C30480-GRY	Ninja C30480 Foodi NeverStick Premium 8-Quart Stock Pot with Glass Lid, Hard-Anodized, Nonstick, Durable & Oven Safe to 500°F, Slate Grey	B08C1G42W4	X003AQ1281	UPC: 622356565615	New	No prep required	"--"	Merchant	1
NINJA-PROCESSOR-NF701-SLV	Ninja NF701 Professional XL Food Processor, 1200 Peak-Wattage. 4 Functions for Chopping, Slicing/Shredding, Purees & Dough. 12-Cup Processor Bowl, Feed Chute/3-Part Pusher, 2 Blades & 2 Discs, Silver	B09SBSGLSS	X003AN6YEB	UPC: 622356588294	New	No prep required	"--"	Merchant	1
SHARK-MOP-S7001-GLD	Shark S7001 Mop, Scrub & Sanitize at The Same Time, Designed for Hard Floors, with 4 Dirt Grip Soft Scrub Washable Pads, 3 Steam Modes & LED Headlights, Gold, 13.7 in L x 6.75 in W x 46.5 in H	B08QZTSHFX	X003B8AQD5	UPC: 622356571500	New	No prep required	"--"	Merchant	39
SHARK-VAC-CH963AMZ-WHT	Shark CH963AMZ 2-in-1 Cordless & Handheld Vacuum Ultracyclone System, Ultra-Lightweight and Portable for Car and Home, White	B098SDVFVM	X003ANDGS3	UPC: 622356582735	New	No prep required	"--"	Merchant	11
SHARK-VAC-IZ482H-IRIS	Shark IZ482H Vertex Cordless Stick Vacuum With DuoClean PowerFins, MultiFLEX, Crevice Tool, Pet Multi-Tool & Anti-Allergen Brush, 120-min Runtime, Double Battery, Iris	B08QW9L18V	X003B8KVDP	UPC: 622356570732	New	No prep required	"--"	Merchant	2
SHARK-VAC-RV2502AE-BLK	Shark RV2502AE AI Ultra Robot Vacuum with XL HEPA Self-Empty Base, Bagless, 60-Day Capacity, LIDAR Navigation, Smart Home Mapping, UltraClean, Perfect for Pet Hair, Compatible with Alexa, Black	B09J88GNW3	X003BA7URD	UPC: 622356574501	New	No prep required	"--"	Merchant	2
SHARK-VAC-ZU503AMZ-TEAL	Shark ZU503AMZ Navigator Lift-Away Upright Vacuum with Self-Cleaning Brushroll, HEPA Filter, Swivel Steering, Upholstery Tool & Pet Crevice Tool, Perfect for Pets & Multi-Surface Cleaning, Teal	B08TT4YHG1	X003AV5DR7	UPC: 622356574105	New	No prep required	"--"	Merchant	13
STARK-SAW-16-CUTTER-50120	Stark 3200W Electric 16" Concrete Cutter Saw Circular Saw Concrete Wet/Dry Saw Cutter Guide Roller w/Water Line Attachment (Blade not Included) Cut Off Saw, Demo Saw, Disc Cutter, Power Cutter	B08HSPP74G	X003A5K8N7	UPC: 812365035210	New	No prep required	"--"	Merchant	8
VIZIO-SOUNDBAR-M512A-H6	VIZIO M-Series 5.1.2 Premium Sound Bar with Dolby Atmos, DTS:X, Bluetooth, Wireless Subwoofer, Voice Assistant Compatible, Includes Remote Control - M512a-H6	B08TV6GJF7	X003AIA81L	UPC: 845226018718	New	No prep required	"--"	Merchant	9
