Shipment ID	FBA16KWXZLGZ
Name	02-02-2022 03-18-PM
Plan ID	
Ship To	MGE3
Total SKUs	4
Total Units	27

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
LENOVO-YOGA-9i14i71185G716G1TWHSLV2-LNOB	2021 Lenovo Yoga 9i 2-in-1 Laptop, 11th Gen Intel Core i7-1185G7, Intel Iris Xe Graphics, 14” FHD IPS Touchscreen, 16 GB DDR4, 1TB SSD, Active Stylus Pen, Thunderblot 4, Win 10 - Mica	B08VYLX37X	X00357C0JZ	UPC: 195235075692	Used - Like New	No prep required	"--"	Merchant	1
MSI-KYBD-VIGOR-GK50-LP-US	MSI Vigor GK50 Low Profile RGB Mechanical Gaming Keyboard, Kailh White Low Profile Switches, Brushed Aluminum Design, Ergonomic Keycap Design, RGB Mystic Light	B07ZLF8SHW	X002TCL1FV	UPC: 824142196076	New	No prep required	"--"	Merchant	24
PANASONIC-MWAVE-HOMECHEF-NN-CD87KS-ACC	Panasonic HomeChef 4-in-1 Microwave Oven with Air Fryer, Convection Bake, FlashXpress Broiler, Inverter Microwave Technology, 1000W, 1.2 cu ft with Easy Clean Interior - NN-CD87KS (Stainless Steel)	B085SV35MT	X003577Y9V	UPC: 885170422612	Used - Acceptable	No prep required	"--"	Merchant	1
SAMSUNG-MON-ODYSSEY-G7-LS28AG700NN-VGOB	SAMSUNG 28" Odyssey G70A Gaming Computer Monitor, 4K UHD LED Display, HDR 400, 144Hz, G-Sync and FreeSync Premium Support, Front Light Panels, LS28AG700NNXZA, Black	B096YPN52D	X003579YGH	UPC: 887276541112	Used - Very Good	No prep required	"--"	Merchant	1
