Shipment ID	FBA16NHBX4XM
Name	04-09-2022 03-20-PM
Plan ID	
Ship To	CHA2
Total SKUs	2
Total Units	80
shipment-total-cases	2

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Units per case	Number of cases	Shipped
SAMSUNG-MON-FT45-LF24T452FQNXGO	SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T452FQNXGO)	B08CLSXJSW	X0036O1IWR	UPC: 887276459042	New	No prep required	"--"	Merchant	50	1	50
SAMSUNG-MON-S70A-LS27A700NWNXZA	SAMSUNG 27” S70A Series 4K UHD Computer Monitor with IPS Panel and HDR10 for PC, Borderless Slim Design, TUV Eye Comfort Certified Eye Care, Fully Adjustable Stand, LS27A700NWNXZA, Black	B08YFLC3JD	X0037JMNJ3	UPC: 887276507422	New	No prep required	"--"	Merchant	30	1	30
